url,mname,id,name,transactiontype,bonusfixed,amount,minwithdraw,maxwithdraw,rollover,balance,claimconfig,claimcondition,bonus,bonusrandom,reset,mintopup,maxtopup,referlink,perceived_value,is_new
https://truewin77.com,TRUEWIN77,0,Daily Rollover Rebate,REBATE,,0.19,0,3000,,,,,,,,,,,14.708994598939544,0
https://truewin77.com,TRUEWIN77,0,Daily Rollover Rebate,REBATE,,0.19,0,3000,,,,,,,,,,,14.708994598939544,0
https://ijoker88au.com,IJOKER88,832114,<b>WELCOME BACK FREE</b>,,100.00,100,500,20,0.00,,"{""displayDescriptionOnly"":""1"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,,,,,8.229572442539286,0
https://ijoker88au.com,IJOKER88,212732,<b>JOIN TELEGRAM<b>,,100.00,100,1000,10,0.00,,"{""displayAngpaoText"":""0"",""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0"",""creditLessThan"":0.1,""registerDate"":""2023-01-01"",""mustJoinTelegramChannel"":""iJokerchannel88"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,,,,,2.725215249163835,0
https://ijoker88au.com,IJOKER88,212136,<b>DAILY FREE CREDIT<b>,,88.00,88,288,15,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0"",""displayAngpaoText"":""0"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,12.629885195615032,0
https://ijoker88au.com,IJOKER88,212141,<b>FREE SHARE EVENT<b>,,1,1,0,288,0.00,,"{""customBonus"":""sharebonus"",""creditLessThan"":1,""startDate"":""2024-09-10"",""displayDescriptionOnly"":""1"",""mobileAppOnly"":""0"",""walletId"":1,""changeGameId"":1}",CUSTOM,0.00,,,,,,86.67105251051989,0
https://race96.com,Race96,0,Daily Rollover Rebate,REBATE,,0.23,,1000,,,,,,,,,,,16.16120702986032,0
