url,mname,id,name,transactiontype,bonusfixed,amount,minwithdraw,maxwithdraw,rollover,balance,claimconfig,claimcondition,bonus,bonusrandom,reset,mintopup,maxtopup,referlink,perceived_value,is_new
https://pokies4bet.com,POKIES4BET,0,COMMISSION,COMMISSION,,0.08,,,,,,,,,,,,,5.08959221154666,0
https://efa99aus.com,EFA99AUS,231928,<b>Ultra Daily FREE</b> <b>#R </b>,,888.00,888,8888,10,0.00,,"{""creditLessThan"":0.1,""startDate"":""2025-04-03"",""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""mobileAppOnly"":""1""}",FREE,0.00,,DAILY,,,,3.0892497883969123,0
https://inskingdom8.com,INSKINGDOM8,823234,<b>Welcome Back Free,,100.00,100,300,20,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""registerBeforeDate"":""2026-03-01"",""changeGameId"":1,""walletId"":1}",FREE,0.00,,,,,,15.584332644933966,0
https://inskingdom8.com,INSKINGDOM8,461126,<b>Daily Free Credit,,10.00,10,150,15,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1}",FREE,0.00,,DAILY,,,,1.6372423828216727,0
https://inskingdom8.com,INSKINGDOM8,237229,<B>Download Apps Free,,50.00,50,500,10,0.00,,"{""creditLessThan"":0.1,""displayDescriptionOnly"":""1"",""walletId"":1,""changeGameId"":1,""displayAngpaoText"":""1"",""mobileAppOnly"":""1""}",FREE,0.00,,,,,,2.60975639940788,0
