url,name,amount,maxwithdraw,minwithdraw,ratio,rollover,score
wombats88.com,Loyalty Ⅴ,199.99,0.0,0.0,0.0,0.0,19999.0
tab9au.com,5️⃣⚜️ VVIP FREE,199.0,0.0,0.0,0.0,199.0,19900.0
9au.com,WEEKLY VIP II,199.0,0.0,0.0,0.0,300.0,19900.0
mmd9.net,IV ⚜️ VVIP FREE,196.0,0.0,0.0,0.0,196.0,19600.0
thestar.asia,TheStar Member Free Bonus,188.0,0.0,0.0,0.0,0.0,18800.0
king88pokies.com,VIP GOLD,188.0,0.0,0.0,0.0,188.0,18800.0
mwaus.co,Lucky Spin AUD 188,188.0,0.0,0.0,0.0,1504.0,18800.0
thepokies96.com,VIP Gold,188.0,0.0,0.0,0.0,188.0,18800.0
topcash7.com,SPECIAL RED PACKET A$177,177.0,0.0,0.0,0.0,0.0,17700.0
supreme777.com,4️⃣✨ VVIP FREE,177.0,0.0,0.0,0.0,177.0,17700.0
crown777au.com,WEEKLY LOYALTY BONUS,177.0,0.0,0.0,0.0,0.0,17700.0
cashnet99.com,WEEKLY DEPOSIT 100 TIMES,168.88,0.0,0.0,0.0,2.0,16888.0
ubet96.com,Cashback Gold,168.88,0.0,0.0,0.0,168.88,16888.0
nightclubaus.com,Weekly Reward II,168.88,0.0,0.0,0.0,3.0,16888.0
pokies33au.com,Deposit $10000,168.0,0.0,0.0,0.0,5.0,16800.0
ubet66aus.com,Weekly Bonus,166.66,0.0,0.0,0.0,166.66,16666.0
ubet66aus.com,Vip Bonus,150.0,0.0,0.0,0.0,150.0,15000.0
gday77au.com,VIP 4♠,150.0,0.0,0.0,0.0,150.0,15000.0
iplay77.com,GOLD MEMBER,150.0,0.0,0.0,0.0,150.0,15000.0
ubet96.com,Referral Bonus 4,138.0,0.0,0.0,0.0,1.0,13800.0
cr33au.com,FREE $133 1 MORE TIME,133.0,0.0,0.0,0.0,10.0,13300.0
pokies33au.com,VIP Daily Deposit x30,133.0,0.0,0.0,0.0,266.0,13300.0
pokies33au.com,Daily Deposit,133.0,0.0,0.0,0.0,665.0,13300.0
onya88.com,VIP GOLD,128.88,0.0,0.0,0.0,773.28,12888.0
ozreel88.com,VVIP GOLD,128.88,0.0,0.0,0.0,773.28,12888.0
v8au.com,V8 VIP BOOSTER 2,128.0,0.0,0.0,0.0,0.0,12800.0
king88pokies.com,VIP SILVER,128.0,0.0,0.0,0.0,128.0,12800.0
fortune88au.com,FREE CHIP 128$,128.0,0.0,0.0,0.0,1.0,12800.0
thepokies96.com,VIP Silver,128.0,0.0,0.0,0.0,128.0,12800.0
pp99au.com,VIP2 MONTHLY LOYALTY BONUS (LOSS),119.0,0.0,0.0,0.0,3.0,11900.0
ubet66aus.com,Weekly Bonus,116.66,0.0,0.0,0.0,116.66,11666.0
blaze007.com,Mystery Box 3,107.0,0.0,0.0,0.0,1.0,10700.0
retro33.com,Mystery Box 3,103.0,0.0,0.0,0.0,1.0,10300.0
ispeed88au.com,SOCIAL MEDIA FREE CREDIT,100.0,0.0,0.0,0.0,0.0,10000.0
7pokies.com,Boongo Exclusive III,100.0,0.0,0.0,0.0,0.0,10000.0
gtbet9au.com,WELCOME BONUS,100.0,0.0,0.0,0.0,3.0,10000.0
v12betau.net,⭐️⭐️ VVIP 1 FREE,100.0,0.0,0.0,0.0,1.0,10000.0
ubet66aus.com,WFGaming FREE 100,100.0,0.0,0.0,0.0,1.0,10000.0
ubet66aus.com,Vip Bonus,100.0,0.0,0.0,0.0,100.0,10000.0
richman96.com,WELCOME BACK FREE,100.0,0.0,0.0,0.0,0.0,10000.0
gday77au.com,VIP 3♠,100.0,0.0,0.0,0.0,100.0,10000.0
cr33au.com,Deposit $50 Free,100.0,0.0,0.0,0.0,0.0,10000.0
iplay77.com,SILVER MEMBER,100.0,0.0,0.0,0.0,100.0,10000.0
live77bet.com,Welcome Monthly Back Free,100.0,0.0,0.0,0.0,0.0,10000.0
me99aud.com,Daily Easy Step Bonus loss credit,100.0,0.0,0.0,0.0,0.0,10000.0
gofun33.com,⭐️ VVIP 4 FREE,100.0,0.0,0.0,0.0,0.0,10000.0
cbr8aus.com,LIVE GAME,100.0,0.0,0.0,0.0,0.0,10000.0
cbr8aus.com,Welcome Bonus,100.0,0.0,0.0,0.0,0.0,10000.0
speedaud.com,WELCOME BONUS,100.0,0.0,0.0,0.0,0.0,10000.0
legit99.com,SPECIAL BONUS 100%,100.0,0.0,0.0,0.0,3.0,10000.0
wombats88.com,Loyalty Ⅳ,99.99,0.0,0.0,0.0,0.0,9999.0
tab9au.com,4️⃣⚜️ VVIP FREE,99.0,0.0,0.0,0.0,99.0,9900.0
9au.com,WEEKLY VIP,99.0,0.0,0.0,0.0,200.0,9900.0
supreme777.com,3️⃣⭐️ VIP FREE,97.0,0.0,0.0,0.0,97.0,9700.0
mmd9.net,III ⭐️ VIP FREE,96.0,0.0,0.0,0.0,96.0,9600.0
kaboom77.com,Birthday Bonus,90.0,0.0,0.0,0.0,0.0,9000.0
onya88.com,VIP SILVER,88.88,0.0,0.0,0.0,533.28,8888.0
